"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"C2,C4,C1,C3";"C_0603_1608Metric";4;"22pF";;;
2;"JP6,JP1,JP2,JP5,JP3,JP4";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";6;" ";;;
3;"R1";"R_0402_1005Metric";1;"330";;;
4;"U1";"SSOP-16_3.9x4.9mm_P0.635mm";1;"TTP224B";;;
5;"H2,H4";"FingerPrint_Pad_Silk";2;"Pad";;;
6;"H1,H3";"FingerPrint_Pad_SolderMask";2;"Pad";;;
7;"C5";"C_0603_1608Metric";1;"10u";;;
8;"D1";"LED_0603_1608Metric";1;"LED";;;
9;"REF**";"OSHW-Logo2_14.6x12mm_SilkScreen";1;"OSHW-Logo2_14.6x12mm_SilkScreen";;;
10;"REF**";"KiCad-Logo2_8mm_SilkScreen";1;"KiCad-Logo2_8mm_SilkScreen";;;
